Response_variable,Sample proportion,Model,Mean_AUC_training,SD_AUC_training,Mean_AUC_test,SD_AUC_test,NA,NA,NA,NA,NA,NA
persistent,0.5,std,training,1334,340,1116,122,0.836581709,0.358823529,0.836581709,0.358823529,0.739545998
persistent,0.5,std,test,1335,339,1090.5,107,0.816853933,0.315634218,0.824599633,0.30417119,0.715352449
persistent,0.5,stepwise,training,1334,340,1111.5,116,0.833208396,0.341176471,0.832277392,0.342616512,0.733273596
persistent,0.5,stepwise,test,1335,339,1101.5,111,0.825093633,0.327433628,0.828516849,0.322448342,0.724313023
persistent,0.5,lasso,training,1334,340,1116,122,0.836581709,0.358823529,0.836581709,0.358823529,0.739545998
persistent,0.5,lasso,test,1335,339,1090.5,107,0.816853933,0.315634218,0.824599633,0.30417119,0.715352449
post_relapse_persist,0.119474313,std,training,319,81,274,36,0.858934169,0.444444444,0.858934169,0.444444444,0.775
post_relapse_persist,0.119474313,std,test,2350,598,1884.5,165,0.801914894,0.275919732,0.813059499,0.263481111,0.695217096
post_relapse_persist,0.119474313,stepwise,training,319,81,276,32.5,0.865203762,0.401234568,0.850660144,0.429225352,0.77125
post_relapse_persist,0.119474313,stepwise,test,2350,598,1903.5,175.5,0.81,0.293478261,0.817904864,0.293039503,0.705223881
post_relapse_persist,0.119474313,lasso,training,319,81,274,36,0.858934169,0.444444444,0.858934169,0.444444444,0.775
post_relapse_persist,0.119474313,lasso,test,2350,598,1885,165.5,0.80212766,0.276755853,0.813275931,0.264288822,0.695556309
